pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
V-는 한이 있어도,C1,Entschlossenheit trotz hoher Kosten,"Drückt den festen Willen aus, ein Ziel selbst dann zu verfolgen, wenn dafür ein großer Nachteil in Kauf genommen werden muss.",발표가 조금 늦어지는 한이 있어도 잘못된 수치는 먼저 바로잡아야 합니다.,"Selbst wenn sich die Mitteilung dadurch etwas verzögert, müssen falsche Zahlen zuerst korrigiert werden.",Die genannte Belastung muss ernst gemeint sein und darf nicht wie eine beiläufige Bedingung wirken.,Resolve despite a serious cost,Expresses determination to pursue a goal even if doing so requires accepting a significant disadvantage.,"Even if it delays the announcement a little, incorrect figures must be corrected first.",The cost should be meaningful rather than a casual condition.,grammar_c1_even_at_cost,Selbst wenn,Even if,true,grammar_c1_no_exaggeration|grammar_c1_two_sides|grammar_c1_room_for
A/V-다고 해도 과언이 아니다,C1,"Nachdrückliche, begründbare Bewertung","Stellt eine starke Bewertung als sachlich vertretbar dar. Die Aussage klingt betont, sollte aber durch Kontext oder Belege gestützt sein.",신뢰를 지키는 데에는 빠른 발표만큼 책임 있는 정정이 중요하다고 해도 과언이 아니에요.,"Es ist keine Übertreibung zu sagen, dass verantwortungsvolle Korrekturen für Vertrauen ebenso wichtig sind wie schnelle Mitteilungen.",Nicht als bloße Übertreibung verwenden. Der Kontext sollte die starke Aussage nachvollziehbar machen.,Strong but supportable assessment,Presents a strong evaluation as justified rather than exaggerated. The surrounding context should support the claim.,It is no exaggeration to say that responsible corrections matter as much as speed when maintaining trust.,"Use it for an emphatic claim that can be supported, not empty hype.",grammar_c1_no_exaggeration,keine Übertreibung,no exaggeration,true,grammar_c1_unless_condition|grammar_c1_excessive_result|grammar_c1_taking_into_account
V-지 않는 한,C1,Notwendige Bedingung,"Zeigt, dass ein Ergebnis nur möglich ist, wenn ein bestimmter Zustand beendet oder eine Bedingung erfüllt wird.",조치의 근거를 공개하지 않는 한 사람들의 협조를 오래 기대하기 어려워요.,"Solange die Grundlage der Maßnahme nicht offengelegt wird, ist dauerhafte Kooperation schwer zu erwarten.",Die Form bezeichnet eine notwendige Bedingung und nicht nur eine zeitliche Gleichzeitigkeit.,Necessary condition unless changed,Shows that a result is difficult or impossible unless a particular state changes or condition is met.,"Unless the basis for the measure is disclosed, lasting cooperation will be difficult to expect.","The clause states a necessary condition, not merely two events happening at the same time.",grammar_c1_unless_condition,Solange,Unless,true,grammar_c1_two_sides|grammar_c1_room_for|grammar_c1_rather_than
A/V-(으)ㄴ/는 한편,C1,Zwei gleichzeitig relevante Seiten,"Verbindet zwei unterschiedliche, oft kontrastierende Eigenschaften oder Entwicklungen, die beide für die Bewertung wichtig sind.",이 대책은 초기 비용을 줄이는 한편 기존 시설을 다시 쓸 수 있게 해요.,Die Maßnahme senkt einerseits die Anfangskosten und macht andererseits vorhandene Räume wieder nutzbar.,"Die beiden Seiten können kontrastieren, müssen aber nicht vollständig gegensätzlich sein.",Two concurrent sides,"Connects two different, often contrasting qualities or developments that are both relevant to the assessment.",The measure reduces initial costs while also bringing existing facilities back into use.,"The two sides may contrast, but they do not need to be exact opposites.",grammar_c1_two_sides,einerseits,while also,true,grammar_c1_excessive_result|grammar_c1_taking_into_account|grammar_c1_even_at_cost
V-(으)ㄴ 나머지,C1,Folge eines übermäßigen Zustands,Verbindet einen stark ausgeprägten Zustand oder eine übermäßige Handlung mit einer meist unbeabsichtigten negativen Folge.,눈에 보이는 성과만 서두른 나머지 정작 유지 비용을 계산하지 못했어요.,"Weil wir uns zu sehr auf sichtbare Ergebnisse versteiften, versäumten wir die laufenden Kosten zu berechnen.","Der erste Teil muss stark genug sein, um die unerwünschte Folge plausibel auszulösen.",Result of an excessive state,Links an excessive action or strongly felt state to an usually unintended negative result.,We became so focused on visible results that we failed to calculate the ongoing costs.,The first clause should be intense enough to plausibly cause the unwanted result.,grammar_c1_excessive_result,zu sehr,so focused,true,grammar_c1_room_for|grammar_c1_rather_than|grammar_c1_no_exaggeration
V-(으)ㄹ 여지가 있다,C1,Spielraum für Möglichkeit oder Auslegung,"Zeigt vorsichtig, dass noch eine Möglichkeit, Verbesserung oder andere Interpretation offensteht.",현재 수요만 보면 규모가 작아 보이지만 이용 시간이 늘면 다시 검토할 여지가 있어요.,"Nach der aktuellen Nachfrage wirkt der Umfang klein, doch bei längeren Nutzungszeiten besteht Spielraum für eine erneute Prüfung.","Die Form lässt eine Möglichkeit offen, ohne sie als wahrscheinlich oder sicher darzustellen.",Room for possibility or reconsideration,"Cautiously indicates that a possibility, improvement, or alternative interpretation remains open.","Current demand makes the scale look small, but longer opening hours would leave room to reconsider it.",The form leaves an option open without claiming that it is likely or certain.,grammar_c1_room_for,besteht Spielraum,leave room,true,grammar_c1_taking_into_account|grammar_c1_even_at_cost|grammar_c1_unless_condition
N을/를 감안하면,C1,Einschätzung unter Berücksichtigung eines Faktors,"Fordert dazu auf, einen relevanten Umstand in die folgende Einschätzung oder Entscheidung einzubeziehen.",지역마다 이동 방식이 다른 점을 감안하면 같은 제도를 그대로 적용하기는 어려워요.,"Wenn man die unterschiedlichen Mobilitätsmuster der Regionen berücksichtigt, lässt sich dasselbe Modell kaum unverändert anwenden.",Der berücksichtigte Faktor sollte die folgende Schlussfolgerung spürbar verändern.,Assessment taking a factor into account,Introduces a relevant circumstance that should materially shape the following judgment or decision.,"Taking regional differences in travel patterns into account, it is difficult to apply the same model unchanged.",The stated factor should meaningfully affect the conclusion.,grammar_c1_taking_into_account,berücksichtigt,Taking,true,grammar_c1_rather_than|grammar_c1_no_exaggeration|grammar_c1_two_sides
N을/를 불문하고,C2,Ohne Rücksicht auf eine Kategorie,"Zeigt in formellem Ton, dass eine Regel oder Aussage unabhängig von der genannten Kategorie gilt.",이의 제기 절차는 이용 경로나 판단 결과를 불문하고 누구에게나 열려 있어야 합니다.,"Ein Einspruchsverfahren muss allen offenstehen, unabhängig von Zugangsweg oder Entscheidungsergebnis.",Die Kategorie vor der Form sollte mögliche Unterschiede vollständig umfassen.,Regardless of category,States in a formal tone that a rule or claim applies regardless of the category named before the form.,"An appeals process should be open to everyone, regardless of access route or decision outcome.",The category before the form should cover the distinctions being set aside.,grammar_c2_regardless_of,unabhängig von,regardless of,true,grammar_c2_even_if_concession|grammar_c2_fortunate_counterfactual|grammar_c2_if_indeed
V-(으)ㄹ지언정,C2,Entschiedene Konzession,"Räumt eine schwierige Möglichkeit ein und betont zugleich, dass die nachfolgende Grenze oder Haltung trotzdem nicht aufgegeben wird.",검토에 시간이 더 걸릴지언정 자동 판정의 이유를 묻는 권리까지 없애서는 안 돼요.,"Auch wenn die Prüfung länger dauert, darf das Recht auf eine Begründung automatischer Entscheidungen nicht entfallen.",Die zweite Aussage enthält meist ein starkes Prinzip oder eine klare Grenze.,Resolute concession,Concedes a difficult possibility while insisting that the following principle or boundary will not be abandoned.,"Even if review takes longer, the right to ask why an automated decision was made must not be removed.",The second clause usually states a firm principle or nonnegotiable limit.,grammar_c2_even_if_concession,Auch wenn,Even if,true,grammar_c2_expected_assumption|grammar_c2_even_assuming|grammar_c2_nothing_more_than
V-(으)리라 여겨지다,C2,Früher als selbstverständlich geltende Erwartung,"Beschreibt eine Annahme oder Erwartung, die zu einem bestimmten Zeitpunkt als plausibel oder selbstverständlich galt, oft bevor sie revidiert wurde.",자동화가 편향을 줄이리라 여겨졌지만 자료 자체의 불균형은 그대로 남아 있었어요.,"Man ging davon aus, dass Automatisierung Verzerrungen verringern würde, doch die Unausgewogenheit der Daten blieb bestehen.",Häufig folgt ein Kontrast zwischen der früheren Erwartung und einem später erkannten Ergebnis.,Expectation once considered likely,"Describes an assumption once regarded as plausible or self-evident, often before later evidence revised it.","Automation was expected to reduce bias, but the imbalance in the data remained.",It often sets up a contrast between an earlier expectation and a later finding.,grammar_c2_expected_assumption,ging davon aus,was expected,true,grammar_c2_fortunate_counterfactual|grammar_c2_if_indeed|grammar_c2_likely_negative
A/V-기에 망정이지,C2,Erleichterung über einen günstigen Umstand,"Betont, dass nur ein glücklicher Umstand eine deutlich schlechtere, meist unausgesprochene Folge verhindert hat.",결정 기록을 남겨 두었기에 망정이지 그렇지 않았다면 오류가 어디서 시작됐는지 찾기 어려웠을 거예요.,"Zum Glück hatten wir die Entscheidungsschritte dokumentiert, sonst wäre der Ursprung des Fehlers kaum zu finden gewesen.",Der günstige Umstand muss tatsächlich eine negative Gegenfolge verhindert haben.,Relief over a fortunate circumstance,"Emphasizes that a fortunate circumstance prevented a much worse, often counterfactual outcome.","Fortunately, we kept a record of the decision process; otherwise, finding where the error began would have been difficult.",The favorable circumstance should genuinely prevent the implied negative result.,grammar_c2_fortunate_counterfactual,Zum Glück,Fortunately,true,grammar_c2_even_assuming|grammar_c2_nothing_more_than|grammar_c2_regardless_of
A/V-(으)ㄴ/는다고 치더라도,C2,Weitgehende hypothetische Konzession,"Akzeptiert eine Annahme vorläufig für die Argumentation und zeigt, dass die folgende Schlussfolgerung selbst dann bestehen bleibt.",시스템의 평균 정확도가 높다고 치더라도 피해를 본 사람이 이의를 제기할 통로는 필요해요.,Selbst unter der Annahme einer hohen durchschnittlichen Genauigkeit braucht eine betroffene Person einen Weg zum Einspruch.,"Die Annahme wird nicht zwingend als wahr anerkannt, sondern nur argumentativ zugestanden.",Far-reaching hypothetical concession,Temporarily grants an assumption for the sake of argument and shows that the following conclusion still holds.,"Even assuming high average accuracy, an affected person still needs a way to appeal.","The assumption is granted for argument, not necessarily accepted as true.",grammar_c2_even_assuming,unter der Annahme,Even assuming,true,grammar_c2_if_indeed|grammar_c2_likely_negative|grammar_c2_even_if_concession
V-(으)ㄹ진대,C2,Formelle Folgerung aus einer Prämisse,Nimmt eine Prämisse in gehobenem schriftlichem Ton auf und leitet daraus eine nachdrückliche Folgerung oder Forderung ab.,기술이 사람의 기회를 좌우할진대 그 판단 기준은 공개적인 검토를 견딜 수 있어야 합니다.,"Wenn Technologie über Chancen von Menschen entscheidet, müssen ihre Kriterien einer öffentlichen Prüfung standhalten.",Die Form wirkt literarisch oder rhetorisch und passt nicht zu lockerer Alltagsrede.,Formal inference from a premise,Takes up a premise in elevated written style and draws an emphatic conclusion or demand from it.,"If technology is to shape people's opportunities, its criteria must withstand public scrutiny.",The form is literary or rhetorical and does not suit casual conversation.,grammar_c2_if_indeed,Wenn Technologie,If technology,true,grammar_c2_nothing_more_than|grammar_c2_regardless_of|grammar_c2_expected_assumption
N에 불과하다,C2,Reduktion auf einen begrenzten Status,"Stellt klar, dass etwas trotz eines größeren Eindrucks nur den genannten begrenzten Wert oder Status besitzt.",설명할 수 없는 높은 점수는 검증이 끝나기 전까지 하나의 출력값에 불과해요.,"Ein hoher, nicht erklärbarer Wert ist bis zur Prüfung nichts weiter als eine Systemausgabe.","Die Form kann kritisch klingen, weil sie den behaupteten Wert bewusst begrenzt.",Reduction to a limited status,"Clarifies that something has only the limited status named, despite appearing more authoritative.","Until it is verified, a high score that cannot be explained is nothing more than a system output.",The form can sound critical because it deliberately limits the claimed significance.,grammar_c2_nothing_more_than,nichts weiter,nothing more,true,grammar_c2_likely_negative|grammar_c2_even_if_concession|grammar_c2_fortunate_counterfactual
V-기 십상이다,C2,Hohe Wahrscheinlichkeit einer negativen Folge,"Warnt, dass unter den genannten Umständen sehr leicht eine meist unerwünschte Folge entsteht.",자동 결과에 책임자가 없으면 오류가 생겼을 때 서로 시스템 탓만 하기 십상이에요.,Ohne klar Verantwortliche wird bei einem Fehler leicht nur dem System die Schuld gegeben.,Die Folge ist typischerweise negativ und als wiederkehrendes Risiko gemeint.,Strong likelihood of a negative result,Warns that the stated conditions are very likely to produce an usually undesirable result.,"Without a clearly responsible person, people are likely to blame only the system when an error occurs.",The result is typically negative and framed as a recurring risk.,grammar_c2_likely_negative,wird,are likely,true,grammar_c2_regardless_of|grammar_c2_expected_assumption|grammar_c2_even_assuming
N께,A1,Hoeftliche Empfaengerpartikel,Markiert eine ältere oder geachtete Person als Empfaenger einer Handlung oder Gabe.,장인어른께 과일을 드렸어요.,Ich habe an die geehrte Person Obst gegeben.,Nach 께 folgt oft ein Hoeftlichkeitsverb wie 드리다.,Honorific recipient particle,Marks an elder or respected person as the recipient of an action or gift.,I gave fruit to the respected person.,께 is often followed by an honorific verb such as 드리다.,grammar_a1_honorific_kke,an die geehrte Person,to the respected person,true,grammar_a1_topic_particle|grammar_a1_polite_request|grammar_a1_possessive_particle
V-아/어 드리다,A2,Demütige Gabe oder Hilfe,"Drückt aus, dass die sprechende Person einer geehrten Person etwas gibt oder für sie handelt.",할머니께 물을 따라 드렸어요.,Ich habe für die geehrte Person Wasser eingeschenkt.,Nicht mit 주다 an Aeltere mischen.,Humble giving or helping,Shows that the speaker gives something or acts for a respected person.,I poured water for the respected person.,Do not mix this with 주다 toward elders.,grammar_a2_humble_give,für die geehrte Person,for the respected person,true,grammar_a2_favor|grammar_a2_polite_proposal|grammar_a2_permission
N께서,B1,Hoeftliches Subjekt,Markiert eine geehrte Person als Subjekt und passt oft zu Verben mit -시-.,시어머니께서 먼저 앉으셨어요.,Die geehrte Person als Subjekt hat sich zuerst gesetzt.,"께는 Empfaenger, 께서 ist Subjekt.",Honorific subject,Marks a respected person as the subject and often pairs with -시- verbs.,The respected person as subject sat down first.,께 marks a recipient; 께서 marks a subject.,grammar_b1_honorific_subject_kkeyseo,Die geehrte Person als Subjekt,The respected person as subject,true,grammar_b1_soft_request|grammar_b1_indirect_speech|grammar_b1_honorific_si
V-기보다,B2,Sanftere Alternative zur direkten Aussage,Stellt eine weniger direkte Handlung als bessere Wahl gegenüber einer scharfen Antwort dar.,바로 거절하기보다 다음에 말씀드릴게요라고 했어요.,"Statt direkt abzulehnen, sagte ich, ich erklaere es später.",Beide Seiten sollten echte Alternativen sein.,Softer alternative to a direct move,Presents a less direct action as the better choice against a blunt reply.,"Rather than directly refusing, I said I would explain later.",Both sides should be real alternatives.,grammar_b2_rather_than_direct,Statt direkt,Rather than directly,true,grammar_b2_formal_regarding|grammar_b2_instead_tradeoff|grammar_b2_not_automatic_conclusion
N라는 점에서,C1,Bewertung eines familiaren Rahmens,"Hebt den Rahmen oder die Rolle hervor, unter dem eine Familienaussage bewertet wird.",우리 며느리라는 점에서 그 말은 환영이자 역할 부여예요.,"Insofern der Rahmen unsere Schwiegertochter sagt, ist das Willkommen und Rolle.",Nach der Form folgt die Bewertung des Rahmens.,Evaluating a family frame,Highlights the frame or role under which a family remark is judged.,"In that the frame says our daughter-in-law, the remark is welcome and a role.",The evaluation of the frame follows the form.,grammar_c1_family_framing,Insofern der Rahmen,In that the frame,true,grammar_c1_taking_into_account|grammar_c1_two_sides|grammar_c1_rather_than
N와/과 무관하게,C2,Unabhaengig von Bluts- oder Machtbindung,Trennt eine Entscheidung oder ein Recht von Verwandtschaft oder stiller Autoritaet.,혈연과 무관하게 절차를 문서화하자고 했어요.,"Unabhaengig von der Blutsbindung schlug ich vor, das Verfahren festzuhalten.",Der vorangestellte Bezug darf die folgende Forderung nicht heimlich ersetzen.,Independent of blood or quiet power,Separates a decision or right from kinship or unspoken authority.,"Regardless of blood ties, I asked to document the procedure.",The fronted reference must not secretly replace the demand that follows.,grammar_c2_regardless_of_kin,Unabhaengig von,Regardless of,true,grammar_c2_regardless_of|grammar_c2_even_assuming|grammar_c2_nothing_more_than
N한테,A1,Gesprochene Richtung zu einer Person,Gesprochene Richtung zu einer Person. Nach Konsonant oft 한테.,친구한테 이 주소를 물어봤어요.,Ich habe eine Freundin nach dieser Adresse gefragt.,Nach Konsonant oft 한테.,Spoken direction to a person,"Spoken direction to a person. After a consonant, 한테 is common.",I asked a friend for this address.,"After a consonant, 한테 is common.",grammar_a1_spoken_dative,eine Freundin,a friend,true,grammar_a1_duration_span|grammar_a1_come_purpose|grammar_a1_in_front
N동안,A1,Zeitspanne,Zeitspanne. Nennt eine begrenzte Zeit.,수업 동안 전화를 꺼 두어요.,Während des Unterrichts lasse ich das Telefon aus.,Nennt eine begrenzte Zeit.,Duration span,Duration span. Names a bounded time.,I leave the phone off during class.,Names a bounded time.,grammar_a1_duration_span,Während des Unterrichts,during class,true,grammar_a1_spoken_dative|grammar_a1_come_purpose|grammar_a1_in_front
V-(으)러 오다,A1,Kommen um zu handeln,Kommen um zu handeln. Bewegung zum Sprecher.,서류를 받으러 왔어요.,"Ich bin gekommen, um die Unterlagen abzuholen.",Bewegung zum Sprecher.,Come in order to act,Come in order to act. Motion toward the speaker.,I came to pick up the papers.,Motion toward the speaker.,grammar_a1_come_purpose,"gekommen, um",came to,true,grammar_a1_spoken_dative|grammar_a1_duration_span|grammar_a1_in_front
N앞에,A1,Ort vor etwas,"Ort vor etwas. Konkreter Ort, nicht Zeit.",역앞에 잠시 기다려 주세요.,Bitte warten Sie kurz vor dem Bahnhof.,"Konkreter Ort, nicht Zeit.",Place in front,"Place in front. A concrete place, not time.",Please wait a moment in front of the station.,"A concrete place, not time.",grammar_a1_in_front,vor dem Bahnhof,in front of the station,true,grammar_a1_spoken_dative|grammar_a1_duration_span|grammar_a1_come_purpose
N때문에,A2,Grund als Nomen,"Grund als Nomen. Nach Nomen, nicht nach Verb.",비 때문에 약속 장소를 바꿨어요.,Wegen des Regens habe ich den Treffpunkt geändert.,"Nach Nomen, nicht nach Verb.",Noun cause,"Noun cause. After a noun, not a verb.",Because of the rain I changed the meeting place.,"After a noun, not a verb.",grammar_a2_noun_cause,Wegen des Regens,Because of the rain,true,grammar_a2_busy_cause|grammar_a2_among_set|grammar_a2_spoken_result
V-느라고,A2,Beschäftigt-sein als Grund,Beschäftigt-sein als Grund. Oft mit verpasster Handlung.,짐을 챙기느라고 전화를 못 받았어요.,"Weil ich mit dem Packen beschäftigt war, habe ich nicht ans Telefon gehen können.",Oft mit verpasster Handlung.,Busy-doing cause,Busy-doing cause. Often with a missed action.,"I was busy packing, so I could not take the call.",Often with a missed action.,grammar_a2_busy_cause,beschäftigt war,was busy,true,grammar_a2_noun_cause|grammar_a2_among_set|grammar_a2_spoken_result
N중에서,A2,Auswahl aus einer Menge,Auswahl aus einer Menge. Die Menge steht vor 중에서.,이 셋 중에서 제일 가까운 역을 고르세요.,Wählen Sie unter diesen dreien den nächsten Bahnhof.,Die Menge steht vor 중에서.,Choice from a set,Choice from a set. The set comes before 중에서.,Choose the nearest station among these three.,The set comes before 중에서.,grammar_a2_among_set,unter diesen dreien,among these three,true,grammar_a2_noun_cause|grammar_a2_busy_cause|grammar_a2_spoken_result
V-아/어 가지고,A2,Gesprochene Folge,Gesprochene Folge. Umgangssprachlicher Anschluss.,번호를 적어 가지고 나중에 걸었어요.,Ich habe die Nummer aufgeschrieben und später angerufen.,Umgangssprachlicher Anschluss.,Spoken result,Spoken result. A spoken follow-on.,I wrote the number down and called later.,A spoken follow-on.,grammar_a2_spoken_result,aufgeschrieben und,wrote the number down and,true,grammar_a2_noun_cause|grammar_a2_busy_cause|grammar_a2_among_set
V-기는 하지만,B1,Eingeständnis plus Gegensatz,Eingeständnis plus Gegensatz. Erste Handlung wird anerkannt.,늦기는 하지만 오늘은 끝까지 할게요.,"Es ist zwar spät, aber ich mache es heute zu Ende.",Erste Handlung wird anerkannt.,Concession plus contrast,Concession plus contrast. The first action is granted.,"It is late, but I will finish it today.",The first action is granted.,grammar_b1_concede_but,"zwar spät, aber","late, but",true,grammar_b1_as_kept_doing|grammar_b1_while_already|grammar_b1_self_should
V-다 보니,B1,Ergebnis durch Wiederholung,Ergebnis durch Wiederholung. Kein einmaliger Zufall.,설명을 듣다 보니  핵심이 보였어요.,Beim wiederholten Zuhören wurde der Kern sichtbar.,Kein einmaliger Zufall.,Result through repetition,Result through repetition. Not a one-off accident.,"As I kept listening, the core became visible.",Not a one-off accident.,grammar_b1_as_kept_doing,Beim wiederholten Zuhören,As I kept listening,true,grammar_b1_concede_but|grammar_b1_while_already|grammar_b1_self_should
V-(으)ㄴ 김에,B1,Gelegenheit mitnehmen,Gelegenheit mitnehmen. Zweite Handlung ist Zusatz.,우체국에 간 김에 우표도 샀어요.,"Da ich schon auf der Post war, habe ich auch Briefmarken gekauft.",Zweite Handlung ist Zusatz.,While already doing,While already doing. The second action is extra.,"Since I was already at the post office, I also bought stamps.",The second action is extra.,grammar_b1_while_already,Da ich schon,Since I was already,true,grammar_b1_concede_but|grammar_b1_as_kept_doing|grammar_b1_self_should
V-아/어야겠다,B1,Selbstentschluss,"Selbstentschluss. Eigene Absicht, kein Befehl.",내일은 더 일찍 나가야겠다.,Morgen sollte ich früher rausgehen.,"Eigene Absicht, kein Befehl.",Self-decision,"Self-decision. Own intention, not a command.",Tomorrow I should leave earlier.,"Own intention, not a command.",grammar_b1_self_should,sollte ich,I should,true,grammar_b1_concede_but|grammar_b1_as_kept_doing|grammar_b1_while_already
V-다시피,B2,Wie bereits sichtbar,Wie bereits sichtbar. Verweist auf sichtbare Grundlage.,자료에서 보시다시피 대기 시간이 줄었습니다.,"Wie Sie in den Unterlagen sehen, ist die Wartezeit gesunken.",Verweist auf sichtbare Grundlage.,As already visible,As already visible. Points to a visible basis.,"As you can see in the materials, waiting time has fallen.",Points to a visible basis.,grammar_b2_as_you_see,Wie Sie in den Unterlagen sehen,As you can see in the materials,true,grammar_b2_including_start|grammar_b2_whether_or_not|grammar_b2_granted_limit
N을/를 비롯해,B2,Einschluss als Ausgang,Einschluss als Ausgang. Nennt den ersten und impliziert weitere.,담당 부서를 비롯해 관련 팀이 모두 참석합니다.,Einschließlich der zuständigen Stelle nehmen alle betroffenen Teams teil.,Nennt den ersten und impliziert weitere.,Including as a starting set,Including as a starting set. Names the first and implies more.,"Including the responsible office, all related teams will attend.",Names the first and implies more.,grammar_b2_including_start,Einschließlich der zuständigen Stelle,Including the responsible office,true,grammar_b2_as_you_see|grammar_b2_whether_or_not|grammar_b2_granted_limit
V-건 말건,B2,Unabhängig von der Wahl,Unabhängig von der Wahl. Beide Alternativen ändern die Folge nicht.,참석하건 말건 기록은 공유하겠습니다.,"Ob Sie teilnehmen oder nicht, ich teile das Protokoll.",Beide Alternativen ändern die Folge nicht.,Regardless of the choice,Regardless of the choice. Neither alternative changes the follow-up.,"Whether you attend or not, I will share the record.",Neither alternative changes the follow-up.,grammar_b2_whether_or_not,Ob Sie teilnehmen oder nicht,Whether you attend or not,true,grammar_b2_as_you_see|grammar_b2_including_start|grammar_b2_granted_limit
A/V-기로서니,B2,Eingeständnis mit Grenze,Eingeständnis mit Grenze. Räumt etwas ein und begrenzt die Schlussfolgerung.,설명이 짧기로서니 결정을 숨긴 것은 아닙니다.,"Mag die Erklärung kurz sein, die Entscheidung wurde nicht verborgen.",Räumt etwas ein und begrenzt die Schlussfolgerung.,"Granted, with a limit","Granted, with a limit. Grants a point and limits the conclusion.","Granted the explanation is short, the decision was not hidden.",Grants a point and limits the conclusion.,grammar_b2_granted_limit,Mag die Erklärung kurz sein,Granted the explanation is short,true,grammar_b2_as_you_see|grammar_b2_including_start|grammar_b2_whether_or_not
N을/를 불문하고,C1,Ohne Ausnahme nach N,Ohne Ausnahme nach N. Schließt Statusunterschiede aus.,직급을 불문하고 같은 공개 기준을 적용합니다.,Unabhängig vom Rang gilt derselbe Öffentlichkeitsmaßstab.,Schließt Statusunterschiede aus.,Without exception after N,Without exception after N. Rules out status differences.,"Regardless of rank, the same disclosure standard applies.",Rules out status differences.,grammar_c1_regardless_noun,Unabhängig vom Rang,Regardless of rank,true,grammar_c1_given_situation|grammar_c1_leaning_on|grammar_c1_even_if_doing
V-는 마당에,C1,In einer bereits laufenden Lage,In einer bereits laufenden Lage. Die Lage ist schon da.,자료가 부족한 마당에 순위를 단정할 수 없습니다.,Angesichts fehlender Daten können wir keine Rangfolge festlegen.,Die Lage ist schon da.,In an already unfolding situation,In an already unfolding situation. The situation is already there.,"Given the missing data, we cannot fix a ranking.",The situation is already there.,grammar_c1_given_situation,Angesichts fehlender Daten,Given the missing data,true,grammar_c1_regardless_noun|grammar_c1_leaning_on|grammar_c1_even_if_doing
N에 기대어,C1,Sich auf eine Grundlage stützen,Sich auf eine Grundlage stützen. Die Grundlage ist schmal oder vorläufig.,한 설문에 기대어 제도를 바꾸지는 않겠습니다.,Gestützt auf eine einzelne Umfrage werde ich das System nicht ändern.,Die Grundlage ist schmal oder vorläufig.,Leaning on a basis,Leaning on a basis. The basis is narrow or provisional.,I will not change the system leaning on a single survey.,The basis is narrow or provisional.,grammar_c1_leaning_on,Gestützt auf eine einzelne Umfrage,leaning on a single survey,true,grammar_c1_regardless_noun|grammar_c1_given_situation|grammar_c1_even_if_doing
V-고서라도,C1,Selbst um den Preis der Handlung,Selbst um den Preis der Handlung. Die Handlung ist der Preis.,일정을 미루고서라도 검수를 마치겠습니다.,"Selbst wenn wir den Termin verschieben, schließe ich die Prüfung ab.",Die Handlung ist der Preis.,Even at the cost of the action,Even at the cost of the action. The action is the price.,"Even if we postpone the schedule, I will finish the review.",The action is the price.,grammar_c1_even_if_doing,Selbst wenn wir den Termin verschieben,Even if we postpone the schedule,true,grammar_c1_regardless_noun|grammar_c1_given_situation|grammar_c1_leaning_on
N이라 함은,C2,Institutionelle Definition,Institutionelle Definition. Definiert einen Amtsbegriff.,공개라 함은 원문과 한계를 함께 내는 일을 말합니다.,"Mit Veröffentlichung ist gemeint, Ursprungstext und Grenze gemeinsam vorzulegen.",Definiert einen Amtsbegriff.,Institutional definition,Institutional definition. Defines an official term.,By disclosure we mean releasing the source text together with its limits.,Defines an official term.,grammar_c2_defined_as,Mit Veröffentlichung ist gemeint,By disclosure we mean,true,grammar_c2_as_already_set|grammar_c2_on_the_premise|grammar_c2_wishing_to
V-는 바,C2,Bereits festgestellter Inhalt,Bereits festgestellter Inhalt. Verweist auf eine festgehaltene Lage.,"앞서 밝힌 바, 자동 결정에는 이의 경로가 있어야 합니다.","Wie bereits dargelegt, braucht eine automatisierte Entscheidung einen Einspruchsweg.",Verweist auf eine festgehaltene Lage.,Already established content,Already established content. Refers to a recorded position.,"As already set out, an automated decision needs an appeal path.",Refers to a recorded position.,grammar_c2_as_already_set,Wie bereits dargelegt,As already set out,true,grammar_c2_defined_as|grammar_c2_on_the_premise|grammar_c2_wishing_to
N을/를 전제로,C2,Unter einer gesetzten Bedingung,Unter einer gesetzten Bedingung. Die Bedingung ist nicht verhandelbar.,설명 가능성을 전제로 배포 범위를 정합니다.,Unter der Voraussetzung der Erklärbarkeit legen wir den Ausrollkreis fest.,Die Bedingung ist nicht verhandelbar.,On a stated premise,On a stated premise. The condition is not optional.,On the premise of explainability we set the rollout scope.,The condition is not optional.,grammar_c2_on_the_premise,Unter der Voraussetzung der Erklärbarkeit,On the premise of explainability,true,grammar_c2_defined_as|grammar_c2_as_already_set|grammar_c2_wishing_to
V-고자 하건대,C2,Formelle Absichtseröffnung,"Formelle Absichtseröffnung. Schriftlicher, förmlicher Auftakt.",기록을 남기고자 하건대 결정 요약을 먼저 읽겠습니다.,"Indem ich das Protokoll sichern will, lese ich zuerst die Entscheidungszusammenfassung.","Schriftlicher, förmlicher Auftakt.",Formal intent opening,"Formal intent opening. A written, formal opening.","Wishing to keep a record, I will read the decision summary first.","A written, formal opening.",grammar_c2_wishing_to,Indem ich das Protokoll sichern will,Wishing to keep a record,true,grammar_c2_defined_as|grammar_c2_as_already_set|grammar_c2_on_the_premise
